varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
26761	Continuous	30674	-0.000358627189003595	-0.0112735927066376	0.0105563383286304	0.94865212475721	LINEAR	Mean thickness of fusiform (left hemisphere)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	192	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan white
90157	Continuous	73771	0.00330210430210356	-0.0974633074241346	0.104067516028342	0.948787564206164	ORDERED-LOGISTIC	Fraction acceleration <= 1900 milli-gravities		100088	Additional exposures	1008	Physical activity measurement	1010	Acceleration intensity distribution	1010	Additional exposures > Physical activity measurement > Acceleration intensity distribution
41272#L873	Categorical multiple	343215/447(343662)	0.003045765315853	-0.0891370247796305	0.0971051376249713	0.948874144490179	LOGISTIC-BINARY	Operative procedures - OPCS4: L87.3 Stripping of varicose vein of leg NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20004#1478	Categorical multiple	289731/53888(343619)	0.00030124029113601	-0.00890451493909895	0.00951963867515318	0.948896797784555	LOGISTIC-BINARY	Operation code: tonsillectomy +/- adenoids		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
25155	Continuous	28849	0.000344343701042468	-0.0102092742785403	0.0108979616806252	0.949008542771208	LINEAR	Mean MO in body of corpus callosum on FA skeleton		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	134	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton
25339	Continuous	28849	0.000332958888386719	-0.00987589968496481	0.0105418174617383	0.949029332981383	LINEAR	Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	134	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton
25357	Continuous	28848	0.000368926578881552	-0.0109454812042748	0.0116833343620379	0.949041674008429	LINEAR	Mean ICVF in superior cerebellar peduncle on FA skeleton (left)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	134	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton
41272#W772	Categorical multiple	343488/174(343662)	0.00485885319082476	-0.141953000702607	0.156487410071308	0.949091808629036	LOGISTIC-BINARY	Operative procedures - OPCS4: W77.2 Transposition of muscle for stabilisation of joint		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#T718	Categorical multiple	343637/25(343662)	0.0128562377605879	-0.366599285026727	0.426262582080034	0.949191254233783	LOGISTIC-BINARY	Operative procedures - OPCS4: T71.8 Other specified excision of sheath of tendon		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#S364	Categorical multiple	343645/17(343662)	0.0157254098026069	-0.444747542539558	0.526298294185826	0.949206304994448	LOGISTIC-BINARY	Operative procedures - OPCS4: S36.4 Composite autograft of skin NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#E031	Categorical multiple	343560/102(343662)	-0.00629220610835374	-0.196081690929262	0.191640777647753	0.949245610329622	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: E03.1 Submucous excision of septum of nose		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#Q189	Categorical multiple	338261/5401(343662)	0.000879314863883313	-0.026218993736599	0.0281276045552372	0.949427536965664	LOGISTIC-BINARY	Operative procedures - main OPCS4: Q18.9 Unspecified diagnostic endoscopic examination of uterus		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#S575	Categorical multiple	343529/133(343662)	0.00549966665953551	-0.161552587391429	0.178898388687784	0.94948536169378	LOGISTIC-BINARY	Operative procedures - main OPCS4: S57.5 Attention to dressing of skin NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
